id,channel,title,game,viewers,date
4,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,27934,1542578200214
10,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19381,1542578200240
18,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15300,1542578200273
61,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4697,1542578200423
105,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,28076,1542578261145
111,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19231,1542578261186
118,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15180,1542578261211
160,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4700,1542578261409
205,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,28203,1542578322302
211,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19231,1542578322337
219,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15168,1542578322366
261,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4703,1542578322558
305,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,28550,1542578383446
310,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19239,1542578383466
319,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15168,1542578383507
362,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4703,1542578383661
405,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,28554,1542578444457
410,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19148,1542578444493
419,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15134,1542578444531
460,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4760,1542578445223
505,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,28677,1542578505997
510,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19195,1542578506013
519,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15134,1542578506060
559,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4723,1542578506208
605,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,28862,1542578567012
610,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19201,1542578567033
618,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15495,1542578567079
659,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4754,1542578567239
700,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2671,1542578567421
704,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,28862,1542578628086
710,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19201,1542578628123
718,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15495,1542578628153
759,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4754,1542578628314
799,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2671,1542578628482
804,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,29084,1542578689033
810,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19215,1542578689073
819,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15374,1542578689113
857,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4687,1542578689316
897,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2698,1542578689503
904,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,29225,1542578750099
910,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19215,1542578750129
919,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15213,1542578750166
957,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4706,1542578750322
996,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2698,1542578750513
1004,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,29225,1542578811076
1010,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19520,1542578811099
1019,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15284,1542578811132
1058,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4739,1542578811262
1095,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2687,1542578811393
1104,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,29299,1542578871991
1110,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19520,1542578872014
1119,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15284,1542578872049
1158,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4739,1542578872227
1195,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2687,1542578872405
1204,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,29386,1542578932968
1210,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19457,1542578932985
1220,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15127,1542578933038
1260,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4751,1542578933171
1294,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2709,1542578933311
1304,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,29386,1542578994002
1312,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,18962,1542578994027
1321,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15078,1542578994089
1359,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4674,1542578994256
3011,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,20350,1542580031096
1393,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2737,1542578994401
1404,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,29802,1542579055051
1412,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,18962,1542579055098
1420,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15078,1542579055134
1459,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4674,1542579055252
1494,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2737,1542579055394
1504,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,30192,1542579115971
1513,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19038,1542579116009
1520,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15142,1542579116041
1560,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4674,1542579116219
1594,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2728,1542579116363
1605,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,30263,1542579176977
1613,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19001,1542579177021
1618,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15274,1542579177049
1659,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4636,1542579177205
1693,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2740,1542579177341
1705,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,30399,1542579237968
1713,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19001,1542579238000
1718,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15274,1542579238017
1761,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4522,1542579238169
1793,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2754,1542579238277
1805,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,30429,1542579298942
1813,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19111,1542579298982
1817,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15294,1542579299006
1861,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4525,1542579299205
1893,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2734,1542579299333
1905,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,30822,1542579359878
1912,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19111,1542579359926
1917,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15381,1542579359946
1961,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4525,1542579360091
1990,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2774,1542579360196
2005,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,30822,1542579420826
2012,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19461,1542579420851
2016,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15464,1542579420869
2058,giantwaffle,No Smoking in Chat | @GiantWaffle,Rocket League,4606,1542579421061
2092,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,2776,1542579421218
2105,sodapoppin,"Hello truckers
44835158804929_2115841973",Marble It Up!,32056,1542579481783
2112,xqcow,RANK 1 GAMER ~ NO PLAN (help me),Just Chatting,19321,1542579481807
2116,forsen,"@forsen, The prince of miracoli ! Giving away artifact keys all day!",Artifact,15464,1542579481827
